year,who_region,who_region_name,pathogen,infection_type,antibiotic_class,key_antibiotic,resistance_pct,resistance_pct_lower_ci,resistance_pct_upper_ci,trend_2018_2023_annual_pct_change,trend_significant,countries_reporting,data_quality_flag,primary_source,source_doi,pred_2024,pred_2025,pred_2026
2023,EMR,Eastern Mediterranean,Klebsiella pneumoniae,Bloodstream infection (BSI),3rd-generation cephalosporins,Cefotaxime,60.4,51.8,68.4,,,76,High – 60.4% (51.8–68.4) EMR from GLASS 2025 summary PDF,WHO Global Antibiotic Resistance Surveillance Report 2025 Summary PDF,WHO/2025/GLASS,60.4,60.4,60.4
2023,EUR,Europe,All pathogens (median),All infection types,All antibiotics,Median across combinations,10.2,,,,,59,High – 1 in 10 Europe (AJMC/GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,10.2,10.2,10.2
2023,EUR,Europe,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,15.0,,,,,59,High – EARS-Net 2024; EU/EEA significantly lower than global,ECDC EARS-Net 2024 AMR Surveillance Report,ECDC/2024/EARS-Net,15.0,15.0,15.0
2023,EUR,Europe,Klebsiella pneumoniae,Bloodstream infection (BSI),Carbapenems,Meropenem,8.5,,,,,59,High – EARS-Net 2024 EU/EEA average,ECDC EARS-Net 2024 AMR Surveillance Report,ECDC/2024/EARS-Net,8.5,8.5,8.5
2023,EUR,Europe,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,14.0,,,,,59,High – EARS-Net 2024 EU/EEA average,ECDC EARS-Net 2024 AMR Surveillance Report,ECDC/2024/EARS-Net,14.0,14.0,14.0
2023,SEAR,South-East Asia,All pathogens (median),All infection types,All antibiotics,Median across combinations,31.1,,,,,91,"High – 31.1% SEAR, highest globally (AJMC/GLASS 2025)",WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,31.1,31.1,31.1
2023,SEAR,South-East Asia,Escherichia coli,Bloodstream infection (BSI),Fluoroquinolones,Ciprofloxacin,60.0,,,,,91,Medium – >60% in Asian regions (Pharmacally GLASS 2025 summary),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,60.0,60.0,60.0
2023,SEAR,South-East Asia,Klebsiella pneumoniae,Bloodstream infection (BSI),3rd-generation cephalosporins,Cefotaxime,58.0,,,,,91,Medium – GLASS 2025 SEAR estimate,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,58.0,58.0,58.0
2023,AMR_region,Americas,All pathogens (median),All infection types,All antibiotics,Median across combinations,16.0,,,,,20,Medium – lowest GLASS participation; 20% of members reporting (AJMC 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,16.0,16.0,16.0
2023,AMR_region,Americas,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,25.0,,,,,20,Medium – PAHO ReLAVRA+ data combined with GLASS estimates,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,25.0,25.0,25.0
2023,WPR,Western Pacific,All pathogens (median),All infection types,All antibiotics,Median across combinations,9.1,,,,,37,High – 1 in 11 WPR; lowest resistance regionally (AJMC/GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,9.1,9.1,9.1
2023,WPR,Western Pacific,Neisseria gonorrhoeae,Urogenital gonorrhoea,Extended-spectrum cephalosporins,Ceftriaxone,1.5,,,,,37,"High – WPR highest gonorrhoea burden, 52% of global cases (WHO Nov 2025)",WHO gonorrhoea AMR surveillance Nov 2025,WHO/2025/gonorrhoea,1.5,1.5,1.5
2016,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,38.0,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,38.0,38.0,38.0
2017,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,39.5,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,39.5,39.5,39.5
2018,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,40.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,40.0,40.0,40.0
2019,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,41.2,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,41.2,41.2,41.2
2020,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,40.5,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,40.5,40.5,40.5
2021,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,42.8,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,42.8,42.8,42.8
2022,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,43.5,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,43.5,43.5,43.5
2023,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,44.8,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,44.8,44.8,44.8
2016,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,29.0,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,29.0,29.0,29.0
2017,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,28.5,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,28.5,28.5,28.5
2018,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,28.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,28.0,28.0,28.0
2019,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,27.5,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,27.5,27.5,27.5
2020,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,27.8,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,27.8,27.8,27.8
2021,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,27.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,27.0,27.0,27.0
2022,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,27.3,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,27.3,27.3,27.3
2023,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,27.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,27.0,27.0,27.0
2016,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,44.0,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,44.0,44.0,44.0
2017,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,46.5,,,,False,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,46.5,46.5,46.5
2018,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,48.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,48.0,48.0,48.0
2019,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,49.5,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,49.5,49.5,49.5
2020,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,51.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,51.0,51.0,51.0
2021,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,52.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,52.0,52.0,52.0
2022,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,53.0,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,53.0,53.0,53.0
2023,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,54.3,,,,True,104,High – GLASS annual reports,WHO GLASS Reports 2016-2025,WHO/GLASS/annual,54.3,54.3,54.3
